group,time,at_risk,events,censored,survival
1,25.926,108,1,0,0.7430555555555559
1,27.043,107,1,0,0.7361111111111115
1,27.553,106,1,0,0.7291666666666671
1,28.107,105,1,0,0.7222222222222227
1,28.189,104,1,0,0.7152777777777782
1,28.689,103,1,0,0.7083333333333338
1,29.239,102,1,0,0.7013888888888894
1,30.078,101,1,0,0.694444444444445
1,33.029,100,1,0,0.6875000000000006
1,33.782,99,1,0,0.6805555555555561
1,34.385,98,1,0,0.6736111111111117
1,34.646,97,1,0,0.6666666666666673
1,34.704,96,1,0,0.6597222222222229
1,37.127,95,1,0,0.6527777777777785
1,37.557,94,0,1,0.6527777777777785
1,37.854,93,1,0,0.6457586618876948
1,43.174,92,0,1,0.6457586618876948
1,43.657,91,1,0,0.6386624128559619
1,43.899,90,1,0,0.631566163824229
1,44.269,89,1,0,0.6244699147924961
1,44.567,88,0,1,0.6244699147924961
1,45.264,87,1,0,0.6172920996799387
1,45.782,86,0,1,0.6172920996799387
1,46.93,85,1,0,0.6100298396837042
1,46.983,84,1,0,0.6027675796874696
1,47.933,83,1,0,0.595505319691235
1,48.805,82,1,0,0.5882430596950005
1,49.313,81,1,0,0.5809807996987658
1,52.601,80,1,0,0.5737185397025313
1,53.012,79,0,1,0.5737185397025313
1,53.299,78,1,0,0.5663631738089091
1,54.297,77,1,0,0.5590078079152869
1,54.694,76,1,0,0.5516524420216647
1,56.672,75,1,0,0.5442970761280426
1,56.953,74,1,0,0.5369417102344204
1,58.242,73,1,0,0.5295863443407982
1,59.301,72,1,0,0.522230978447176
1,60.324,71,1,0,0.5148756125535539
1,61.411,70,1,0,0.5075202466599317
1,62.406,69,1,0,0.5001648807663095
1,63.749,68,0,1,0.5001648807663095
1,65.593,67,0,1,0.5001648807663095
1,65.64,66,0,1,0.5001648807663095
1,66.245,65,1,0,0.49247003644682785
1,67.073,64,1,0,0.48477519212734616
1,68.498,63,1,0,0.4770803478078645
1,68.993,62,0,1,0.4770803478078645
1,69.298,61,0,1,0.4770803478078645
1,69.564,60,1,0,0.46912900867773344
1,69.758,59,1,0,0.46117766954760236
1,70.514,58,0,1,0.46117766954760236
1,72.304,57,1,0,0.4530868332397497
1,72.534,56,1,0,0.444995996931897
1,73.179,55,1,0,0.43690516062404433
1,73.519,54,0,1,0.43690516062404433
1,76.341,53,1,0,0.42866166702736425
1,77.185,52,1,0,0.42041817343068416
1,78.202,51,1,0,0.4121746798340041
1,78.304,50,0,1,0.4121746798340041
1,79.957,49,0,1,0.4121746798340041
1,80.832,48,0,1,0.4121746798340041
1,81.156,47,0,1,0.4121746798340041
1,81.207,46,1,0,0.4032143607071779
1,81.676,45,0,1,0.4032143607071779
1,83.575,44,0,1,0.4032143607071779
1,84.113,43,1,0,0.39383728255119704
1,84.189,42,0,1,0.39383728255119704
1,84.255,41,1,0,0.38423149517189953
1,87.074,40,1,0,0.374625707792602
1,89.315,39,1,0,0.3650199204133045
1,89.688,38,1,0,0.35541413303400704
1,89.722,37,1,0,0.3458083456547096
1,91.547,36,0,1,0.3458083456547096
1,91.966,35,0,1,0.3458083456547096
1,92.771,34,0,1,0.3458083456547096
1,92.85,33,0,1,0.3458083456547096
1,95.714,32,1,0,0.3350018348529999
1,95.97,31,0,1,0.3350018348529999
1,99.195,30,1,0,0.3238351070245666
1,100.483,29,0,1,0.3238351070245666
1,101.197,28,0,1,0.3238351070245666
1,101.656,27,0,1,0.3238351070245666
1,110.158,26,1,0,0.3113799106005448
1,110.827,25,0,1,0.3113799106005448
1,113.55,24,0,1,0.3113799106005448
1,116.354,23,0,1,0.3113799106005448
1,118.049,22,1,0,0.29722627830052006
1,121.047,21,0,1,0.29722627830052006
1,122.02,20,1,0,0.282364964385494
1,122.814,19,0,1,0.282364964385494
1,125.44,18,0,1,0.282364964385494
1,126.481,17,0,1,0.282364964385494
1,129.611,16,0,1,0.282364964385494
1,134.132,15,0,1,0.282364964385494
1,138.45,14,1,0,0.26219603835795874
1,153.419,13,1,0,0.24202711233042346
1,154.406,12,0,1,0.24202711233042346
1,160.217,11,0,1,0.24202711233042346
1,162.429,10,0,1,0.24202711233042346
1,175.054,9,0,1,0.24202711233042346
1,180.363,8,1,0,0.21177372328912053
1,182.503,7,0,1,0.21177372328912053
1,202.146,6,1,0,0.17647810274093378
1,203.712,5,0,1,0.17647810274093378
1,211.55,4,0,1,0.17647810274093378
1,228.595,3,1,0,0.11765206849395587
1,341.921,2,1,0,0.05882603424697794
1,354.29,1,1,0,0.0
