model_family,outcome,status,term,n,events,note,odds_ratio,ci_low,ci_high,p_value,hazard_ratio
logistic,mace_5y,fit,anchor_year_group_2014 - 2016,4238,818,,0.6194255231843394,0.49257484862039924,0.7789435044172955,4.190242714033824e-05,
logistic,mace_5y,fit,anchor_year_group_2017 - 2019,4238,818,,0.5666222071843,0.4393291050708999,0.7307977595124145,1.2101826853704212e-05,
logistic,mace_5y,fit,anchor_year_group_2020 - 2022,4238,818,,0.3413046930464778,0.2420729637874339,0.48121397645149755,8.621731697348239e-10,
logistic,hf_1y,fit,dialysis_hd_unspecified,4238,618,,0.9085741049624846,0.6062368331846222,1.361690446738299,0.6423255252380433,
logistic,hf_1y,fit,valve_tavr,4238,618,,2.0499591819399217,1.6597678677058663,2.5318797461890044,2.6776553513953552e-11,
logistic,hf_1y,fit,admission_age,4238,618,,0.9832694252247373,0.972709816488584,0.9939436676725797,0.002193742659300205,
logistic,hf_1y,fit,male,4238,618,,0.9800020220911388,0.8138183932237176,1.1801207386064905,0.8312705940925067,
logistic,hf_1y,fit,charlson_comorbidity_index,4238,618,,1.3178142439383587,1.25935411573835,1.3789881335391134,9.251846568676468e-33,
logistic,hf_1y,fit,insurance_Medicare,4238,618,,0.7716578550322498,0.5097129726375553,1.1682179524522072,0.22052923398906044,
logistic,hf_1y,fit,insurance_Other,4238,618,,0.8792528718100686,0.36096984419306627,2.141690296358288,0.7769488160586125,
logistic,hf_1y,fit,insurance_Private,4238,618,,0.6102123472311481,0.39498483975599136,0.9427174697220748,0.026029476684065224,
logistic,hf_1y,fit,insurance_missing,4238,618,,0.6424265439753838,0.0793441711011325,5.201539806599163,0.6783747920764077,
logistic,hf_1y,fit,anchor_year_group_2011 - 2013,4238,618,,0.7253976334170468,0.5608380921518958,0.9382417741064156,0.014461938294148024,
logistic,hf_1y,fit,anchor_year_group_2014 - 2016,4238,618,,0.562477409817537,0.4356643534323831,0.726203174674352,1.0131646190243485e-05,
logistic,hf_1y,fit,anchor_year_group_2017 - 2019,4238,618,,0.6482934287352893,0.4936228952210296,0.8514280310137698,0.0018300627391696802,
logistic,hf_1y,fit,anchor_year_group_2020 - 2022,4238,618,,0.47180901806001646,0.3317092561571646,0.6710809101368181,2.9293431715374186e-05,
logistic,cardiac_1y,fit,dialysis_hd_unspecified,4238,1230,,1.0149182084010193,0.7238889106582594,1.422951718941603,0.9315567098390636,
logistic,cardiac_1y,fit,valve_tavr,4238,1230,,1.3843865207884207,1.1679094605262423,1.640988538680996,0.0001775171807072298,
logistic,cardiac_1y,fit,admission_age,4238,1230,,0.9874276940504996,0.9794897913052824,0.9954299265116077,0.0021245702395092875,
logistic,cardiac_1y,fit,male,4238,1230,,0.9453917657460398,0.8208937460576726,1.0887713483416193,0.4357118473904066,
logistic,cardiac_1y,fit,charlson_comorbidity_index,4238,1230,,1.1445954072166382,1.1032561824437208,1.1874836208209987,6.214194619966495e-13,
logistic,cardiac_1y,fit,insurance_Medicare,4238,1230,,0.7710286173958885,0.5684555154453492,1.0457900621786973,0.09451179797816821,
logistic,cardiac_1y,fit,insurance_Other,4238,1230,,0.829400808385524,0.442445439225219,1.5547808610145815,0.5596089566807891,
logistic,cardiac_1y,fit,insurance_Private,4238,1230,,0.6744641049448773,0.4990677222139395,0.911503206100129,0.010378175320765421,
logistic,cardiac_1y,fit,insurance_missing,4238,1230,,1.4559838661111133,0.4421869045022601,4.794101762832801,0.5366585595270719,
logistic,cardiac_1y,fit,anchor_year_group_2011 - 2013,4238,1230,,0.7022881188241485,0.5777685325138335,0.8536439319317768,0.0003865913208004113,
logistic,cardiac_1y,fit,anchor_year_group_2014 - 2016,4238,1230,,0.5354247395700136,0.4412057153348674,0.649764138993603,2.5169884286190013e-10,
logistic,cardiac_1y,fit,anchor_year_group_2017 - 2019,4238,1230,,0.603590146966633,0.4909801904545779,0.7420280341206682,1.6512959471156236e-06,
logistic,cardiac_1y,fit,anchor_year_group_2020 - 2022,4238,1230,,0.4888150303198301,0.37784197783404433,0.6323811219607887,5.0959921385229505e-08,
logistic,valve_reintervention_1y,not_fit,,4238,31,Low events per predictor,,,,,
cox,death,fit,dialysis_hd_unspecified,4231,723,,,2.067979571848466,3.3382484633725973,2.626585234490684e-15,2.6274378447470577
cox,death,fit,valve_tavr,4231,723,,,1.2473740509468145,1.7418901913904354,5.245867798413716e-06,1.474038203147805
cox,death,fit,admission_age,4231,723,,,0.9824033174462865,0.9998615781074843,0.0465062032043791,0.9910940073070121
cox,death,fit,male,4231,723,,,0.8966468664490609,1.214703895582729,0.5813741810954767,1.0436284979041734
cox,death,fit,charlson_comorbidity_index,4231,723,,,1.2366647462999751,1.321706146061181,1.6162372690276367e-47,1.2784785472591507
cox,death,fit,insurance_Medicare,4231,723,,,0.7231795935169185,1.4944657725342738,0.8338820595971066,1.0395995141910581
cox,death,fit,insurance_Other,4231,723,,,0.25552990410987036,1.6664425160658418,0.37220022128525565,0.6525533666566403
cox,death,fit,insurance_Private,4231,723,,,0.46950259917218584,1.039562793581312,0.07695695260312901,0.6986253885947207
cox,death,fit,insurance_missing,4231,723,,,1.1819644103657623,12.534868466474464,0.02525453461032188,3.84912566903042
cox,hf_readmission,fit,dialysis_hd_unspecified,4222,1013,,,0.7162927329152821,1.2538437190462097,0.7067998199333851,0.947691481529865
cox,hf_readmission,fit,valve_tavr,4222,1013,,,1.1961815247503607,1.5985106514925715,1.1768065907908547e-05,1.3827902619096204
cox,hf_readmission,fit,admission_age,4222,1013,,,0.9812164146851821,0.9959650058937484,0.002508725751267941,0.9885632059888583
cox,hf_readmission,fit,male,4222,1013,,,0.8168110373960814,1.054115803099434,0.2501569718327771,0.9279080895569627
cox,hf_readmission,fit,charlson_comorbidity_index,4222,1013,,,1.19524656441872,1.268459449666384,7.729309409912854e-43,1.2313089780060105
cox,hf_readmission,fit,insurance_Medicare,4222,1013,,,0.5831595422627757,1.0062432030059942,0.055461687850754254,0.7660289326585549
cox,hf_readmission,fit,insurance_Other,4222,1013,,,0.3444557023661449,1.2965472713003463,0.23328845118720865,0.6682836979806327
cox,hf_readmission,fit,insurance_Private,4222,1013,,,0.46951947064435556,0.8306418942562142,0.0012166204833476042,0.6245018354546306
cox,hf_readmission,fit,insurance_missing,4222,1013,,,0.16222337274507667,2.7011902818096307,0.5652981511325146,0.6619638947415353
cox,cardiac_readmission,fit,dialysis_hd_unspecified,4200,1745,,,0.7929368383008262,1.2651867296212627,0.989263091415368,1.0016052941383877
cox,cardiac_readmission,fit,valve_tavr,4200,1745,,,0.993872279207387,1.253258863304666,0.06344465524617747,1.1160552149913854
cox,cardiac_readmission,fit,admission_age,4200,1745,,,0.9854446621811711,0.996583953011185,0.001614360706475122,0.9909986563614924
cox,cardiac_readmission,fit,male,4200,1745,,,0.8672629613411338,1.0552869415806336,0.3761740342873876,0.9566667539011944
cox,cardiac_readmission,fit,charlson_comorbidity_index,4200,1745,,,1.0782186183777438,1.1331064580108063,2.669066780452164e-15,1.105321889601084
cox,cardiac_readmission,fit,insurance_Medicare,4200,1745,,,0.6932820208945814,1.0497459286508892,0.13329103802070694,0.853094355180567
cox,cardiac_readmission,fit,insurance_Other,4200,1745,,,0.5919596800761119,1.419403338784388,0.6964392919558959,0.9166403582244083
cox,cardiac_readmission,fit,insurance_Private,4200,1745,,,0.6091119837506686,0.9200590702268774,0.005926135702099349,0.748611384787654
cox,cardiac_readmission,fit,insurance_missing,4200,1745,,,0.5140587288160399,2.6495104770208098,0.7119180198953254,1.167049265370617
cox,mace,fit,dialysis_hd_unspecified,4226,937,,,1.702054166697316,2.6849981585507714,6.430818532379747e-11,2.137758710270165
cox,mace,fit,valve_tavr,4226,937,,,1.1172551215961868,1.5039588319525345,0.0006211115364906796,1.2962660636107035
cox,mace,fit,admission_age,4226,937,,,0.9797079475009292,0.9947591035856751,0.00092964346645615,0.987204841778942
cox,mace,fit,male,4226,937,,,0.8708427863894362,1.1365226173896594,0.9394441652765126,0.9948530157376144
cox,mace,fit,charlson_comorbidity_index,4226,937,,,1.2189456100762754,1.2940031873239082,1.6053371365690043e-50,1.2559138125736122
cox,mace,fit,insurance_Medicare,4226,937,,,0.7408467886754573,1.362873646779194,0.9752877966631499,1.0048286244861733
cox,mace,fit,insurance_Other,4226,937,,,0.45754278596829073,1.7727122720931805,0.7618989109919034,0.9006063022729146
cox,mace,fit,insurance_Private,4226,937,,,0.49681657348753544,0.9532605670417226,0.024582894082078095,0.6881828598261175
cox,mace,fit,insurance_missing,4226,937,,,0.7091858321537639,7.283538606611408,0.16707846982199326,2.272747761577113
cox,valve_reintervention,fit,dialysis_hd_unspecified,4238,96,,,0.27239518133356155,2.270260664984259,0.656866634906724,0.7863892582638952
cox,valve_reintervention,fit,valve_tavr,4238,96,,,0.7980561092350211,2.50438889117245,0.23531909948709284,1.4137336575538173
cox,valve_reintervention,fit,admission_age,4238,96,,,0.9247939535867824,0.9618457332268127,5.164540107247273e-09,0.9431379105790424
cox,valve_reintervention,fit,male,4238,96,,,0.7540261105280348,1.8257029050005544,0.47866658035980547,1.1732977714277404
cox,valve_reintervention,fit,charlson_comorbidity_index,4238,96,,,0.8912049461897098,1.1298430130326926,0.9545595754417318,1.0034548727434733
cox,valve_reintervention,fit,insurance_Medicare,4238,96,,,0.6238640635614652,3.019358736803707,0.4312457911567321,1.3724683642591449
cox,valve_reintervention,fit,insurance_Other,4238,96,,,0.18405367875347867,3.6850499368679612,0.7995590914516739,0.82355752517406
cox,valve_reintervention,fit,insurance_Private,4238,96,,,0.5317776587108668,2.0680902172686406,0.8908463108934133,1.0486964163865373
cox,valve_reintervention,fit,insurance_missing,4238,96,,,0.25069896649958634,14.893758644542018,0.5272643955275951,1.9323172357252743
