group,time,at_risk,target_events,all_events,cumulative_incidence,survival_free_of_any_event
1,20,132,1,1,0.04942490153956319,0.943531447666786
1,22,130,0,1,0.04942490153956319,0.9362735134539646
1,24,128,1,1,0.05673953836342229,0.9289588766301055
1,32,124,1,1,0.06423114220721346,0.9214672727863142
1,34,122,1,1,0.07178415263988816,0.9139142623536395
1,36,121,1,1,0.07933716307256286,0.9063612519209648
1,41,118,2,2,0.09469921818986735,0.8909991968036604
1,44,115,1,1,0.10244703729250787,0.8832513777010199
1,49,113,1,1,0.11026342116596823,0.8754349938275595
1,50,112,1,1,0.11807980503942858,0.8676186099540992
1,52,110,1,1,0.1259672469481022,0.8597311680454256
1,53,109,1,1,0.13385468885677584,0.851843726136752
1,57,106,1,1,0.14189095042410368,0.8438074645694241
1,61,105,1,1,0.14992721199143152,0.8357712030020963
1,62,104,1,1,0.15796347355875937,0.8277349414347684
1,64,103,1,1,0.1659997351260872,0.8196986798674406
1,67,101,1,1,0.17411556363962621,0.8115828513539016
1,71,99,2,2,0.19051117679829088,0.795187238195237
1,85,94,1,1,0.19897061550249553,0.7867277994910323
1,86,93,1,1,0.2074300542067002,0.7782683607868277
1,90,91,1,1,0.2159824537757862,0.7697159612177418
1,95,90,1,1,0.22453485334487222,0.7611635616486557
1,102,88,1,1,0.23318443927269786,0.7525139757208301
1,103,87,1,1,0.2418340252005235,0.7438643897930045
1,105,85,1,1,0.25058537096279415,0.7351130440307339
1,107,83,1,1,0.25944215462581505,0.726256260367713
1,108,82,1,1,0.26829893828883594,0.7173994767046921
1,109,81,1,1,0.27715572195185684,0.7085426930416712
1,110,80,1,1,0.28601250561487773,0.6996859093786503
1,113,79,1,1,0.2948692892778986,0.6908291257156294
1,115,78,1,1,0.3037260729409195,0.6819723420526085
1,119,76,1,1,0.3126993932310854,0.6729990217624425
1,121,74,1,1,0.3217939746062536,0.6639044403872744
1,124,72,1,1,0.3310148696116324,0.6546835453818955
1,125,71,1,1,0.3402357646170112,0.6454626503765167
1,126,70,1,1,0.34945665962239003,0.6362417553711379
1,132,69,1,1,0.35867755462776885,0.6270208603657591
1,133,67,1,1,0.3680360749317354,0.6176623400617925
1,137,65,1,1,0.3775385724711476,0.6081598425223804
1,139,64,1,1,0.38704107001055976,0.5986573449829682
1,140,63,1,1,0.39654356754997194,0.5891548474435561
1,145,62,1,1,0.4060460650893841,0.5796523499041438
1,150,59,1,1,0.41587068118945436,0.5698277338040736
1,167,57,0,1,0.41587068118945436,0.5598307560180372
1,169,55,1,1,0.42604942220796416,0.5496520149995274
1,172,54,1,1,0.4362281632264739,0.5394732739810176
1,190,52,1,1,0.4466026492645704,0.5290987879429211
1,192,51,1,1,0.45697713530266687,0.5187243019048245
1,196,50,1,1,0.46735162134076336,0.508349815866728
1,198,49,1,1,0.47772610737885984,0.4979753298286315
1,203,47,1,1,0.48832132716244775,0.4873801100450436
1,204,46,1,1,0.49891654694603566,0.4767848902614557
1,214,45,1,1,0.5095117667296235,0.4661896704778678
1,215,44,1,1,0.5201069865132114,0.4555944506942799
1,218,43,2,2,0.5412974260803872,0.4344040111271041
1,224,40,0,1,0.5412974260803872,0.42354391084892645
1,226,38,1,1,0.5524433184711485,0.41239801845816526
1,227,37,2,2,0.574735103252671,0.3901062336766428
1,247,33,1,1,0.5865565042731753,0.3782848326561385
1,248,32,2,2,0.610199306314184,0.35464203061512983
1,254,30,1,1,0.6220207073346883,0.3428206295946255
1,262,29,1,1,0.6338421083551926,0.3309992285741212
1,269,28,1,1,0.6456635093756969,0.31917782755361684
1,278,26,1,1,0.6579395796662206,0.3069017572630931
1,286,25,1,1,0.6702156499567443,0.29462568697256936
1,296,21,1,1,0.6842454445744857,0.28059589235482796
1,333,19,1,1,0.6990136494352661,0.26582768749404756
1,370,17,0,1,0.6990136494352661,0.25019076470028007
1,382,16,0,1,0.6990136494352661,0.23455384190651257
1,447,11,0,1,0.6990136494352661,0.21323076536955687
1,529,7,0,1,0.6990136494352661,0.18276922745962018
1,681,5,0,1,0.6990136494352661,0.14621538196769615
1,709,4,0,1,0.6990136494352661,0.10966153647577212
1,753,3,0,1,0.6990136494352661,0.07310769098384809
1,851,1,0,1,0.6990136494352661,0.0
