group,time,at_risk,events,censored,survival
1,54,107,0,1,0.8646677975110163
1,57,106,1,0,0.8565105541382708
1,61,105,1,0,0.8483533107655254
1,62,104,1,0,0.8401960673927801
1,64,103,1,0,0.8320388240200346
1,65,102,0,1,0.8320388240200346
1,67,101,1,0,0.8238008158614204
1,68,100,0,1,0.8238008158614204
1,71,99,2,1,0.8071583751369472
1,77,96,0,1,0.8071583751369472
1,84,95,0,1,0.8071583751369472
1,85,94,1,0,0.7985715839120862
1,86,93,1,0,0.789984792687225
1,87,92,0,1,0.789984792687225
1,90,91,1,0,0.7813036411192336
1,95,90,1,0,0.7726224895512421
1,98,89,0,1,0.7726224895512421
1,102,88,1,0,0.7638426885336144
1,103,87,1,0,0.7550628875159866
1,104,86,0,1,0.7550628875159866
1,105,85,1,0,0.746179794721681
1,106,84,0,1,0.746179794721681
1,107,83,1,0,0.737189676712986
1,108,82,1,0,0.728199558704291
1,109,81,1,0,0.719209440695596
1,110,80,1,0,0.7102193226869011
1,113,79,1,0,0.7012292046782063
1,115,78,1,0,0.6922390866695114
1,117,77,0,1,0.6922390866695114
1,119,76,1,1,0.6831306776343862
1,121,74,1,0,0.6738991819906782
1,122,73,0,1,0.6738991819906782
1,124,72,1,0,0.6645394711296966
1,125,71,1,0,0.6551797602687149
1,126,70,1,0,0.6458200494077333
1,132,69,1,1,0.6364603385467517
1,133,67,1,1,0.6269609305087405
1,137,65,1,0,0.617315377731683
1,139,64,1,0,0.6076698249546254
1,140,63,1,0,0.5980242721775679
1,145,62,1,0,0.5883787194005103
1,148,61,0,1,0.5883787194005103
1,149,60,0,1,0.5883787194005103
1,150,59,1,0,0.5784061987327052
1,159,58,0,1,0.5784061987327052
1,167,57,0,1,0.5784061987327052
1,168,56,0,1,0.5784061987327052
1,169,55,1,0,0.5678897223921106
1,172,54,1,0,0.557373246051516
1,173,53,0,1,0.557373246051516
1,190,52,1,0,0.5466545297812945
1,192,51,1,0,0.535935813511073
1,196,50,1,0,0.5252170972408515
1,198,49,1,1,0.51449838097063
1,203,47,1,0,0.5035516069074252
1,204,46,1,0,0.4926048328442203
1,214,45,1,0,0.48165805878101536
1,215,44,1,0,0.4707112847178105
1,218,43,2,0,0.44881773659140073
1,223,41,0,1,0.44881773659140073
1,224,40,0,1,0.44881773659140073
1,225,39,0,1,0.44881773659140073
1,226,38,1,0,0.437006743523206
1,227,37,2,0,0.4133847573868165
1,233,35,0,1,0.4133847573868165
1,244,34,0,1,0.4133847573868165
1,247,33,1,0,0.400857946556913
1,248,32,2,0,0.3758043248971059
1,254,30,1,0,0.3632775140672024
1,262,29,1,0,0.35075070323729884
1,269,28,1,0,0.3382238924073953
1,275,27,0,1,0.3382238924073953
1,278,26,1,0,0.32521528116095705
1,286,25,1,0,0.31220666991451873
1,288,24,0,1,0.31220666991451873
1,292,23,0,1,0.31220666991451873
1,294,22,0,1,0.31220666991451873
1,296,21,1,0,0.29733968563287494
1,302,20,0,1,0.29733968563287494
1,333,19,1,0,0.2816902284943026
1,361,18,0,1,0.2816902284943026
1,370,17,0,1,0.2816902284943026
1,382,16,0,1,0.2816902284943026
1,388,15,0,1,0.2816902284943026
1,390,14,0,1,0.2816902284943026
1,429,13,0,1,0.2816902284943026
1,433,12,0,1,0.2816902284943026
1,447,11,0,1,0.2816902284943026
1,461,10,0,1,0.2816902284943026
1,471,9,0,1,0.2816902284943026
1,498,8,0,1,0.2816902284943026
1,529,7,0,1,0.2816902284943026
1,576,6,0,1,0.2816902284943026
1,681,5,0,1,0.2816902284943026
1,709,4,0,1,0.2816902284943026
1,753,3,0,1,0.2816902284943026
1,754,2,0,1,0.2816902284943026
1,851,1,0,1,0.2816902284943026
